# Roster CSV — attendance backfill (previous full week, all sessions complete)
student_id,date,clock_in,clock_out,duration_minutes,status,source
2026-01,2026-07-27,08:00,10:00,120,complete,seed
2026-01,2026-07-29,13:00,15:00,120,complete,seed
2026-01,2026-07-31,18:00,20:00,120,complete,seed
2026-02,2026-07-28,10:30,12:30,120,complete,seed
2026-02,2026-07-30,15:30,17:30,120,complete,seed
2026-02,2026-08-01,08:00,10:00,120,complete,seed
2026-03,2026-07-27,13:00,15:00,120,complete,seed
2026-03,2026-07-30,18:00,20:00,120,complete,seed
2026-03,2026-08-01,10:30,12:30,120,complete,seed
2026-04,2026-07-28,15:30,17:30,120,complete,seed
2026-04,2026-07-29,08:00,10:00,120,complete,seed
2026-04,2026-07-31,13:00,15:00,120,complete,seed
2026-05,2026-07-27,18:00,20:00,120,complete,seed
2026-05,2026-07-29,10:30,12:30,120,complete,seed
2026-05,2026-08-01,15:30,17:30,120,complete,seed
2026-06,2026-07-28,08:00,10:00,120,complete,seed
2026-06,2026-07-30,13:00,15:00,120,complete,seed
2026-06,2026-07-31,18:00,20:00,120,complete,seed
2026-07,2026-07-27,10:30,12:30,120,complete,seed
2026-07,2026-07-29,15:30,17:30,120,complete,seed
2026-07,2026-07-31,08:00,10:00,120,complete,seed
2026-08,2026-07-28,13:00,15:00,120,complete,seed
2026-08,2026-07-30,18:00,20:00,120,complete,seed
2026-08,2026-08-01,10:30,12:30,120,complete,seed
2026-09,2026-07-27,15:30,17:30,120,complete,seed
2026-09,2026-07-30,08:00,10:00,120,complete,seed
2026-09,2026-08-01,13:00,15:00,120,complete,seed
2026-10,2026-07-28,18:00,20:00,120,complete,seed
2026-10,2026-07-29,10:30,12:30,120,complete,seed
2026-10,2026-07-31,15:30,17:30,120,complete,seed
2026-11,2026-07-27,08:00,10:00,120,complete,seed
2026-11,2026-07-29,13:00,15:00,120,complete,seed
2026-11,2026-08-01,18:00,20:00,120,complete,seed
2026-12,2026-07-28,10:30,12:30,120,complete,seed
2026-12,2026-07-30,15:30,17:30,120,complete,seed
2026-12,2026-07-31,08:00,10:00,120,complete,seed
2026-13,2026-07-27,13:00,15:00,120,complete,seed
2026-13,2026-07-29,18:00,20:00,120,complete,seed
2026-13,2026-07-31,10:30,12:30,120,complete,seed
2026-14,2026-07-28,15:30,17:30,120,complete,seed
2026-14,2026-07-30,08:00,10:00,120,complete,seed
2026-14,2026-08-01,13:00,15:00,120,complete,seed
2026-15,2026-07-27,18:00,20:00,120,complete,seed
2026-15,2026-07-30,10:30,12:30,120,complete,seed
2026-15,2026-08-01,15:30,17:30,120,complete,seed
2026-16,2026-07-28,08:00,10:00,120,complete,seed
2026-16,2026-07-29,13:00,15:00,120,complete,seed
2026-16,2026-07-31,18:00,20:00,120,complete,seed
2026-17,2026-07-27,10:30,12:30,120,complete,seed
2026-17,2026-07-29,15:30,17:30,120,complete,seed
2026-17,2026-08-01,08:00,10:00,120,complete,seed
2026-18,2026-07-28,13:00,15:00,120,complete,seed
2026-18,2026-07-30,18:00,20:00,120,complete,seed
2026-18,2026-07-31,10:30,12:30,120,complete,seed
2026-19,2026-07-27,15:30,17:30,120,complete,seed
2026-19,2026-07-29,08:00,10:00,120,complete,seed
2026-19,2026-07-31,13:00,15:00,120,complete,seed
2026-20,2026-07-28,18:00,20:00,120,complete,seed
2026-20,2026-07-30,10:30,12:30,120,complete,seed
2026-20,2026-08-01,15:30,17:30,120,complete,seed
